Username,comment
Lutta Hillary,Making a mountain out of a mole hill. Tell the Congolese that in Kenya 'cow' is a metaphor meaning 'foolish'. Ruto therefore meant DRC has a shortage of fools. He however should watch his tongue next time.
Chrixtopher Kaloki,"He finally came to his senses so late. He should have done it before sending emisaries to go calm the waters with congolese delegatiÃ³n. Anyway, Its a good start hopefully he grasped something from his remarks."
Achieng J. Ouko,The DPs lies went international and Congolese never took it lightly. Good that they're making amends.
Timothy Masinde,Incoming foreign affairs Cs  in KK government at it already.
J.M. Karuga,Damage control is good diplomacy.
Shemjuma Wanjala,Even with local politics he still has loose and foul mouth as leader he need to change
Enock Chana,Why send a delegation when damage has already been done?!...
Dolbert Moyuki,Watch your mouths we don't want to spoil rerationship with our neighbouring countries
Martin Gitonga,Congratulations our International relations officer for the sober approach to what our competitors wanted to us to pin down kenya kwanza
Pitah Mugambi,Mr fix it.... DRC demands Raila to apologise to both The incoming President of republic of Kenya and to the nation of DRC for taking WSR 's  light words out of context ....
Kossogo Maldini,"Africa's chief mediator died long ago years after ensuring that peace and coexistence had been restored in this beautiful country which was being torn apart by the loose talk,foul language,abusive speech polluted and filled with hate and rotten words!.In whose he hands are we safe now that we have started to witness diplomatic mediations which he have started 6 months down the line?. This country should just be disbanded and everybody should go home!!"
Caltex Davis Rono,DP Ruto was just testing if that international  Relations team can work.. Waiting for media update
Victor Calvin Kitoko,After abusive and intolerance words. What exactly are you convincing an innocent woman to understand instead of facing the higher office in Kinshasa Congo ğŸ‡¨ğŸ‡©
Dennis B Orina,After this meeting ensure you plan a bigger one in Kinshasa. Take WSR with you. While there ask him to kneel down and withdrawal his statement properly. Let him promise to never again belittle the richest country in Africa (of course in terms of natural resources)
Cindy's Den Lupper,So the whole team went to apologize ..uda mko na pesa and who catered the flight and hotels..ruto is rich in deed
Philip Obura,"How to appeal to masses?   - Use words that are emotionally charged, but have no specific meaning   (RHETORIC)   (Words such as 'Freedom' 'Justice' 'Greatness' 'Equality')   - Talk 100 sentences, have 0-1 concrete pieces of information   Talk a lot and say nothing.   Make sure everything you say appeals to their emotions, and does not require them to think by giving concrete information or clear chains of logical reasoning.   How to make very intelligent, Rich and Powerful people to take you seriously:   - Give concrete information that is useful and relevant  - If you talk a lot and say nothing, they will be annoyed. If you speak for 100 sentences, there better be 90+ pieces of concrete information."
Paul Onkoba,Raila is powerful he said Ruto must apologize exactly
Agostino Njagi Zedekia,Ruto campaign machine is lethal
Nicholas Kimani Ndindio,"UDA will make a formidable opposition, Azimio will have a tough tenure at state house"
Mzalendo Tach Mungai,Yes and the Dp is not in the government yet he can send emissary to Congo government so  funny
Sylvester Oj,They should also apologize to kanda Bongo Man ğŸ˜œ
James Yatich,Dp William Ruto still leads in Tifa opinion poll with 38% let's jion winning team
Johnwilly Kalale,Words once said can't be taken back
Kelvin Masinde,"Political reject from ODM without any clout, and a socialite bimbo bought by Ruto"
Byron Omondi,"I see youâ€™ll keep the Azimio government on toes, UDA will be good opposition."
Hillary Butwo,William Ruto was testing if Ababu was upto task.
Geoffrey Koros,"Thanks Hon.Ababu,they all got it wrong on what His Excellency the DP was saying and due to politics try to mudsling Him and cause diplomatic row."
Sharon Heinman,"Dont mind her, they like conflict they even go slaping people on peoples territory and  she can pretend she is talking on behalf of DRC.  Side shows and attention  sbe want to come and live in kenya"
Don Sq,This is just a PR exercise...the damage is already done. Reckless political statements is your character!
George Alego,Hehehehe ati he is now the diplomatic end of Ruto mmh
Hillary Maranga,If one steps on your shoes and whipes it without saying sorry  with the same and smiling sorry.btn the two whose apology will you recognize
Quinoclus Ric,Somebody had to apologize for what Ruto said ğŸ—£ï¸
Kacoba Mutia,The damage is already done
Henry Gikonga,"So, PR is a diplomacy to kenya kwisha?"
Phanice Waneloba,He apologised at which capacity...dp or personal
George Chronixx Mukoya,Going to defend #hatespeech ğŸ’¬ğŸ˜‚ politics a dirty Game ğŸ¯
Onzere Elias,Lies is what made Ruto of today if he can lie to Kenyans and put them in one basket like bananas what else can hinder him  to tell lies even to DRCs? Which country in Africa  it's people have never seen a cow??
Ronald Odindo,To apologies about the cattle stupidity
Duke Jakobuya,He's still a serving as CAS in Uhuru's government?
Femu Mwangu Mwangu,Wn he spoke it was he out of mind?
Joel Rukariah,How comes Murkomen and Sudi didn't   join Namwamba?
Enoch Asande,"Hahahaha,too late to do damage control ğŸ¤£ğŸ˜‚ğŸ“¢ğŸ˜œ"
Juma Sylvester,Ithink it's the kenyan government to do that. Who are you on the first place? Ur insurbodinating our president
Prince Paul Peace,Someone will soon start character development ğŸ¤£ğŸ¤£ğŸ˜‚
Wa Kahua Myles,Shindeni hapo mkisema Ruyos words were reckless.. This is politics bwaanaa
Hazel Jepkoech,GOK(B)  is doing a field test.. Impressive ğŸ˜Š
Dennoh Maloba,Tushaanza kazi wengine wanameza madawa huko india
Ochido Kamkunji,ğŸ”´ğŸ‡¨ğŸ‡©ğŸ‡¨ğŸ‡©ğŸ‡¨ğŸ‡©YOU MUST APOLOGISE TO DRCâ€¼ï¸ğŸ‡¨ğŸ‡©ğŸ‡¨ğŸ‡©ğŸ‡¨ğŸ‡©ğŸ‡¨ğŸ‡© NYAMEYIIIIIğŸ‚ğŸ‚ğŸ‚
Tom Omukofu,"Useless,  that's just pr"
Nancy Makinia,Wameenda Ku confirm ngombe ni ngapi huko DRC
Allan Ouma,Finally ametuma mama mboga to DRC.....hope amewapelekea ata ng'ombe waanze nayo ufugaji
Christine Ayoro,MTU wa mkono
Juliette Nelson,How many govt do we have now ababu namwamba amechoma tu sana
Omar Shikanda,"'Tunaezatoa 3 billion litres, na kuna soko kubwa hapa DRC hii watu ya kuimba nyimbo iko na 90 million people na haina ng'ombe hata moja'  Our fifth negotiating for an international market."
Nicholus Omondi,Alienda kuomba msamaha...
Shikuku Francis,Kazi ishaanza
Luo  Juma,Well who pays him
Jama Ali,How is going to explain that stupid utterances
Rael Oyuga,ğŸ˜…ğŸ˜…ğŸ˜…  Amekimbia kutetea
Johnson Amwayi,Hawa waluhyia hawasomi bibilia vyema
Mhenga Issa,Namwamba...good move
Geoffrey Bett,Pongezi
Wilfred Ripoo,"walitaka kumharibia jina,"
Yahsin Ian,As who??? Kwani Ministry ya foreign affairs haina watu?
Samwel Anyona,Yaani kazi ya ruto Ni kububu namwamba akipanguza?
Winoxx Lyne Kelly,Kazi ipo
Dennis Dennis,Kiherehere
Brandon Wade,They are swallowing their prideğŸ˜‚ğŸ˜‚
Jeremy Gitau,Kabisa
Alloys Arshavin Wa Arsenal,Hakuna kitu mbaya kama kiongozi wenu ndio ako na tabia mbaya alafu wadogo wake ndio wanangangana kuomba msamaha
Francis Bore,Wajaluo wanaumwa too much..
James Ochieng',Tell your master to tame his loose tongue.
Stivo King King,yaaani adi jokes ni kitu ya kujam ivoğŸ™„ğŸ™„ğŸ™„ğŸ™„ atwoli ndo amefuel na hiyo kiuno yake
Kevio Dal,Wamejua ni kuhot
David Yorklan,"UDA is short form of UDAku party,,, so ababu has taken UDAku abroad,,, bottom up export number one is gossip"
Satatu Junior,Nothing like asking for forgiveness on behalf of William Ruto. Alitusi wa Kongo kwamba wanajua tu kufunga malong'i kwa tumbo na hata ng'ombe moja hawana. Dunia ilisikia and we're pantiently waiting to show him how respect to other countries is vital.
Kipkemboi Babdy,Wameshtuka na bado
Benard Mukabi,Daniel Nas Alexander N. Mwangi incoming foreign affairs CS
Omondi Wuod Bondo,amewapelekea maziwa?
Lin Clause,Kazi iko kweli
Alex Watima,Amepeleka ng'ombe wangapi?
Gitonga Gitonga,It's called maturity!SASA wtu wa kuzimia shindeni na ujinga
Mosse Ngigi,Big man ashaa choma ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚
Elvis Obiero,Ooh! Kumbe walikuwa wanataka huyu jamaa apate kazi ta kufanya. Asilipwe tu bure bila kazi
George Gosho,"When he ascends to power, they'll be news about him each day like President Moi era.  ... Tut! Tut! Tut! Tuuuuuuuuuuut. Hivi sasa ni saa moja kamili. Ifuatayo ni tarifa ya habiri Kwanza ni mkhutasari wake...  Rais William Samoei Ruto... Leo hi anaomba msamaha baada ya hiki na kile....hiki na kile, hiki na kile....  Someone did say, anamuonea huruma Mrs wake. Unamuombea Leo, keshoe anajipata Kwa shida tena... Zingine ni kubwa ajabu. He once said, I am a man of very many weaknesses. High affinity to problems."
King 'Willis' Velli,PR tupu
Benard SÃ¡ng,Kwani congolese wanatusaidia na nini?
Bonface Kilonzo,Babu niangalilie ka uko Kuna ngombe ğŸ¤£ğŸ¤£
Leonard Mc Osir,UDA wako na upuzi mingi sana
Benson Kwendo,Sasa otiemu watafute kitu ingine ya kuongelea
Shikutwa Khwa Shivega,Hii mambo ya ng'ombe imeleta kiwewe.
Khamis Juma,Hamutoshi
Veejay Joey,Huyo slay queen wamekuwa walipost ni nani?? I thought she was the Ambassador
Juanner Joy Liyengwa,"Ameenda kusema ""si ni sorry basi."" ğŸ™„ ğŸ™„ ğŸ™„"
Gee Sean,ğŸ˜‚ğŸ˜‚walituma Waongo  weengineğŸ˜‚ğŸ˜‚
Virnshencier Asunga,We're you called ama ulienda tuğŸ˜ğŸ˜
Otieno Mike,Bora allowance kaingie
Wuod Min Queen,"Sema ""KIMEUMANA""ğŸ¤£ ğŸ¤£ ğŸ¤£ ğŸ¤£"
Samm Sam,ANA FORCE LOL
Stephen Kamau,He's a kenyan serving kenyans
Kelsea Kageha,Hongera Namwamba ğŸ‡°ğŸ‡ªğŸ‡°ğŸ‡ª ğŸ’¥ğŸ’¥ğŸ’ªğŸ¾ğŸ’ªğŸ¾
Leonard Ouma,Too late what are the Apologizing for? This is just a tip of the iceberg kama ata shida basi utaona Sarakasi
Adongo Evans,To mend the damages.
Madut Tenai,My friend nimekubali DP kijipanga alijipanga kitambo... he's a government of his own.
Abdulzack Mwangi,Hehe hii Kenya yetu huwa tunapenda kunyenyekea sana
Anthony Simiyu Walela,Mshachoma bro
David Muriuki,RUTO KIBOKO YA DYNASTIES  Uhuru  WAMASHATI amerogwa  Ruto the 5th president Mt kenya we REJECT uhuru betrayal conmanship ruto is our choice I advise the president to reduce alcohol and bhang we can't vote warlord raila mganga odinga   Kenya not yet ready for JALUO president not this century...
Eric Kataka Mukabi,https://www.facebook.com/Emuka-Moringa-Farmers-Co-Operative-Society-Limited-103447108294692
Daniel Nas,Benard Mukabi
Rael Amachi,ğŸ¤£ğŸ¤£ğŸ¤£
Kiprop Kebut,ğŸ˜‚ğŸ˜‚ğŸ˜‚
Charles Oyaro,Hehe
Obegi William Mboga,ğŸ¤—ğŸ¤—ğŸ¤—
Koth Biro,ğŸ˜‚
Joshua Ndolo Kyalo,"Damage is already done, know who UDAku's are, Nothing good to offer to Kenyans"
Nicholas Korir,useless person in the earth..
Maina Mwai,Damage has already been done
Jobier Mchuda McObama,How will that tame Ruto's lose tongue?
Thomas Mweu Nzissi,"People are dealing with might issues like Russia invasion to Ukraine na hapo ni small talk ya maziwa,,,,,,,"
Olenyo Rachar,Impact of lies
Eve Akams,Raila is the next President
Otidollar Jaseme,Verbal diarrhoea
Ronald Odindo,Government will not pay can't pay
Shiru Ndegwa,Thank you God He is the one who gaved you back your sight
Joseph N Joseph,That's great news thanks to God our daughter is well
Hillary Kirui,"Check now,dynasties verying their ralatives abroad for medical check ups,yet our local hospitals are down to toes in terms of equipment and drugs,"
Beb King's,May you not pay anyone's sin .. total healing Rose
Emmah Mtioh Blessed,Glory be to Yahweh
Stephen Okumu,We thank God for such
Charles Aoko,Good luck nyar Baba
Oliver Chesula,Amen
Susy Kakai,Amina
Cosmass Ronoh,Uganga hiyo itakumaliza
Dan Lisutsa Da Lidz,Glory be to God ğŸ™
Ericko Muriuki,Glory be to God
King Edd,Glory to God
Grace Kamau,Glory to God
Martin Aketch,Mungu ni mwema kila wakati na kila wakati Mungu ni mwema
Anthony Musembi Wambua,Glory to God
All Brown,so we cant build those type of hospitals here? Sad!!!
Sylvia Boyani Moguche,God is Great...Ever loving Almighty we haveğŸ™ğŸ™ğŸ™
Robert Muasya,Thanks and glory to God Almighty for favour and grace of healing to Rosemary Odinga.
Mhubiri Makatu Wa Shinyalu,"Quick recovery ,Kenya kama wewe ni maskini utakufa tu sababu ya kukosa matibabu"
Erick Rotich,GLORY TO GOD
Harriet Kabeby,Anaenda india kufanya nini na kuna City Eye Hospital
Chriz Wamalwa,Hi india mtaenda tu mpaka muishe
Junior Deborgs,Glory to Almighty God.
Peter Williams Freeman,"We love Rose, and we will pray for you. But someone close is benefiting and he's bending to benefit more."
Jetete Cyrus,Upone mama siasa kando
Joshua Mwathiki,Glory to God
PS Kilonzo,Delighted by God's doing
Sarah Kabu,Glory be to God
Pius Okari,TO GOD BE THE GLORY.THANK YOU JESUS!!!
